id,bim360_account_id,bim360_project_id,name,wf_type
6eeefd84-39e6-43e1-acbd-a55f990edcb0,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Reviewer with coordinator,reviewer_and_coordinator
2b63b6a9-500e-4588-b9a6-de08621ad1cf,bf996092-8d66-408a-8d8e-5065ca3330c2,2407fb98-b0ae-4470-944d-73b14ccc6347,Default RFI workflow,reviewer_only
12adbec1-c43a-4a3b-b8ea-b70d5a611146,bf996092-8d66-408a-8d8e-5065ca3330c2,2407fb98-b0ae-4470-944d-73b14ccc6347,Reviewer with coordinator,reviewer_and_coordinator
38f4d084-e96d-4ba7-ad66-89540ff1d7b3,bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Default RFI workflow,reviewer_only
79bce2b6-0a75-4d16-9884-8b58ba5949fa,bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Reviewer with coordinator,reviewer_and_coordinator
6fe9979a-c107-4438-ae71-cb2292425689,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Omaxe Project Team,reviewer_only
88b6db7a-f6a8-4a65-9448-816a3d20a961,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Structure ,reviewer_only
16319ca7-c2d2-41b4-9a9a-0f4a13f9bb41,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Structure,reviewer_only
dee4a27f-539a-471a-a775-b76f4604d14b,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Default RFI workflow,reviewer_only
720a21b9-6d3f-4b44-929f-6d4220e6e5dd,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Reviewer with coordinator,reviewer_and_coordinator
b0be37c8-e830-41a2-aba9-e507a0d16457,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Contractor,reviewer_and_coordinator
f4b2c1d6-cb95-40aa-b43a-470ef3c74ebe,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,Electrical,reviewer_only
e5c59611-fa24-4325-a4be-4f5302910506,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Structure,reviewer_only
4d675a00-7540-4ec6-887e-95ee0a33411a,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Default RFI workflow,reviewer_only
c10e5640-0062-4212-aa84-cbaf3e27e0a0,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Reviewer with coordinator,reviewer_and_coordinator
f75aeb56-3b77-47f6-a087-53fa95455aff,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Architecture,reviewer_only
ca3aab4d-4260-4d2e-a04b-2e02bab564d8,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Structure ,reviewer_only
a2e053c7-afd4-4b47-ac8c-544e6ec9ee3d,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Structure - Architecture,reviewer_only
201d8b95-701e-48a8-b8ea-7b845784ce10,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Mechanical,reviewer_only
ee5a770c-a294-40d4-ac7c-dff1bd2a62b2,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Electrical,reviewer_only
dd605b08-3233-4e67-ae6b-d0c4b7ef5715,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Plumbing,reviewer_only
b3d894f1-0bfa-4e84-bbe5-3ea0a840f9e6,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,Contractor,reviewer_and_coordinator
914d9be8-fc41-4db5-81ad-390ab9496e50,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Project Team,reviewer_only
7dfa91bb-f06d-4870-bd3f-917c1519af28,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Omaxe Project Team,reviewer_and_coordinator
828a773b-7b37-4332-a048-2048e9d4069f,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,Default RFI workflow,reviewer_only
ab72cb7a-3496-4f08-8de5-6bdb14bbd1ef,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,Reviewer with coordinator,reviewer_and_coordinator
79735869-2d87-4b34-be43-133f885f935b,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Structure,reviewer_only
ce184b6b-9063-410b-86b2-350c6e545feb,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Default RFI workflow,reviewer_only
477e35b1-1916-49cf-a567-614d1ad32915,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Reviewer with coordinator,reviewer_and_coordinator
1cc1eaee-7d4a-4634-bbc6-825d319b8072,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Contractor,reviewer_and_coordinator
684400f6-9dac-4ccb-8341-d50c3ca0bb80,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,HO Omaxe,reviewer_only
eaf9c7e3-bbcb-4cee-b924-80bb711dffe0,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Electrical,reviewer_only
c4b5472a-af74-4926-b67a-e3ac634193ac,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Mechanical,reviewer_only
eec0ff9f-a63c-4392-962b-044bad949e50,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Plumbing,reviewer_only
b540ef6f-bfe2-4f2c-854c-0b70669674c1,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Structure ,reviewer_only
a00fe8b8-6fa5-4ce7-be73-6c84814e4358,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Structure - Architecture,reviewer_only
b674ce22-9321-483f-9298-b2128d58a00e,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Structure,reviewer_only
3716903f-b7fe-4077-9e9f-d8e8220eb29c,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Default RFI workflow,reviewer_only
082b3f6e-7f7b-48de-b472-459e153297e1,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Reviewer with coordinator,reviewer_and_coordinator
4a39c76a-86b0-4ebc-a8c8-971d74ecb6c5,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Architecture,reviewer_only
35bab4bc-3cc5-41cb-abdd-0692921f1392,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Structure ,reviewer_only
34e68c7a-843a-42a2-95cb-ddb5db8af7f5,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Structure - Architecture,reviewer_only
ade096e6-6e9a-4cbe-aca0-ccd5b757bc84,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Mechanical,reviewer_only
472a342b-f6b2-4f02-b2d8-f57f08638afd,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Electrical,reviewer_only
f910cdf7-a73e-4fe0-b725-3a622d38c4d1,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Plumbing,reviewer_only
c122371b-4918-4e0b-8169-2a789d83e79d,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,Contractor,reviewer_and_coordinator
f226e26d-9c32-4b72-bff7-3efe458ab1ca,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Structure ,reviewer_only
