rfi_id,bim360_account_id,bim360_project_id,location
fe2169f5-b6cd-4241-b7a7-464aeb6ed752,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Footing 
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,STP Sludge Holding Tank
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Entry at LGF Lvl from External Ramp
122c766e-4a34-4a13-8641-637176d1ce2c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-2 Roof Beam 165 C
2446521d-2a01-483c-9946-10b851691706,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Floor Slab and Ramp
2623b592-b957-46c8-868e-77cb4788d069,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,At all floor Beams Gernal Detail
2806d303-c642-48b1-af1e-7e81ffb890fc,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-2 To LGF
3cc85ced-2c3b-4bca-8a97-9986d0a7e360,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"02 nos footing F21 grid -A6 & A5 & Sw -11,09,10 etc"
4cb013ec-5359-46ee-b519-677387263db1,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
529f384b-b4b3-49bb-b473-b2921e49e125,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
5a12549f-3642-4f79-be20-4a54f670a66a,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,b-1 floor Slab Beam
64ba1333-14ae-405b-88c4-869d2810e5b2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Ramp And Slab Junction 
703cfc1d-6e3f-4588-8cce-bb97d726d407,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 lvl Slab and STD Notes
71eb57cc-d3df-4afb-88eb-d3014399addc,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,B-1 Floor Slab 
80ea0e55-fcfd-4c57-9188-712d6c8a9a08,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,STP walk way LVL
86d9b4a1-5f2b-4586-94a4-b228db89c15c,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,stair case -4 
87564a46-20b8-4e67-a71f-c102ae8216be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,GRID A5/X21 LIFT AREA RAFT 4 
912a0928-1599-459b-b703-92e9c6ac1f29,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,
