id,bim360_account_id,bim360_project_id,container_type,name,issuance_date,created_at,created_by,created_by_name,updated_at,updated_by,updated_by_name
f7ccac15-5f98-4d63-ae81-62db40f8ab0c,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,Build,Initial set,2020-11-17 00:00:30,2025-02-01 04:03:02.769,5E4FQ5CA6P9L,ACC Sample Project,2025-02-01 04:03:02.769,5E4FQ5CA6P9L,ACC Sample Project
2d5e9078-8b97-49d9-bf76-528e8b8cbea5,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,Build,Addendum 1,2021-01-15 00:00:30,2025-02-01 04:03:02.867,5E4FQ5CA6P9L,ACC Sample Project,2025-02-01 04:03:02.867,5E4FQ5CA6P9L,ACC Sample Project
986f73d4-b258-4f5a-8943-caba157cd2c8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Build,Terrace Plan & Sections,2025-03-26 00:00:33.813,2025-03-26 12:21:21.883,CMJ2N3U8MSMRM8ZA,Deepak Kumar,2025-03-26 12:21:21.883,CMJ2N3U8MSMRM8ZA,Deepak Kumar
113fc4fe-020b-4682-91a1-2aaaaafef96e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Build,V01,2025-04-02 00:00:39.235,2025-04-02 08:37:22.825,Z3429E4KRUPBNHD4,Manoj M,2025-04-02 08:37:22.825,Z3429E4KRUPBNHD4,Manoj M
