id,sequence_id,instance_id,bim360_account_id,bim360_project_id,step_id,step_name,candidate_type,candidate_oxygen_id
59d7a699-9f3c-4238-96be-4065509ef96e,32,d226ad75-30b1-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
f2e39d1f-9085-44d4-83b2-45d3fd715279,33,0eaa29f7-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
f2e39d1f-9085-44d4-83b2-45d3fd715279,33,0eaa29f7-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
6e7ef14c-bcda-423a-b7a5-ee25fbbb0736,34,398b55f1-30b2-11f0-9531-026648e652bf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
6e7ef14c-bcda-423a-b7a5-ee25fbbb0736,34,398b55f1-30b2-11f0-9531-026648e652bf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
3e665f00-f530-4abd-8527-ee8ce3da3d0f,35,60144bb0-30b2-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
3e665f00-f530-4abd-8527-ee8ce3da3d0f,35,60144bb0-30b2-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
293bb7fc-eae2-4f77-a7bd-2dabbe13cc53,36,a6d230a5-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
293bb7fc-eae2-4f77-a7bd-2dabbe13cc53,36,a6d230a5-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
f37b0578-fd69-4959-87a3-002ad335ad84,37,d0158b07-30b2-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
f37b0578-fd69-4959-87a3-002ad335ad84,37,d0158b07-30b2-11f0-9c34-0afff02ff9e7,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
dd9c17bb-69de-4273-bc01-f29422b555fe,38,f43f0d8a-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
dd9c17bb-69de-4273-bc01-f29422b555fe,38,f43f0d8a-30b2-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
6d04c3fb-204d-448d-80fa-6eaedde1b648,39,1addad74-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
6d04c3fb-204d-448d-80fa-6eaedde1b648,39,1addad74-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
1bbe3b96-8ff2-4c52-a3f3-36b504d31019,40,3829fba0-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
1bbe3b96-8ff2-4c52-a3f3-36b504d31019,40,3829fba0-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
6d6b1d5f-0cf9-4c54-b5f3-c09640492a8b,42,7c2983e9-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
6d6b1d5f-0cf9-4c54-b5f3-c09640492a8b,42,7c2983e9-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
8172f18d-fd60-4843-9bcf-340ad121cc3c,41,5b811235-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
8172f18d-fd60-4843-9bcf-340ad121cc3c,41,5b811235-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
01ee224d-1e17-4b28-bdf1-2f9edd1b4f8b,43,9b02171c-30b3-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
01ee224d-1e17-4b28-bdf1-2f9edd1b4f8b,43,9b02171c-30b3-11f0-a305-0ea8b6e27dcf,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
9d7f0931-253b-4aea-9e5a-377b779d773e,44,ba254880-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
9d7f0931-253b-4aea-9e5a-377b779d773e,44,ba254880-30b3-11f0-8c89-02bb37981eb5,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
993ba4dd-1d1e-4d41-b3bc-13d9769364fa,45,d4880b37-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_gOYkFwT0tf,Initiator,role,526037266
993ba4dd-1d1e-4d41-b3bc-13d9769364fa,45,d4880b37-30b3-11f0-8ed5-0e90ccd82ecd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,Lane_iGgmsWM3oy,Approver,role,495513393
