bim360_account_id,bim360_project_id,container_type,index,name,designator
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,11,,M
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,10,,L
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,9,,I
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,8,,H
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,7,,G
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,6,,F
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,5,,E
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,4,,D
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,3,,COVER
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,2,,C
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,1,,B
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,Build,0,,A
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,21,,Z
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,20,,X
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,19,,W
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,18,,V
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,17,,T
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,16,,S
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,15,,R
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,14,,Q
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,13,,P
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,12,,O
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,11,,M
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,10,,L
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,9,,I
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,8,,H
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,7,,G
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,6,,F
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,5,,E
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,4,,D
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,3,,COVER
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,2,,C
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,1,,B
bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,QTO,0,,A
bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,Build,21,,Z
