issue_id,bim360_account_id,bim360_project_id,display_id,title,description,type_id,subtype_id,status,assignee_id,assignee_type,due_date,location_id,location_details,linked_document_urn,owner_id,root_cause_id,root_cause_category_id,response,response_by,response_at,opened_by,opened_at,closed_by,closed_at,created_by,created_at,updated_by,updated_at,start_date,deleted_at,snapshot_urn,published,gps_coordinates,deleted_by
d2dc9b2a-4abb-4151-80b1-beb0730989ef,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,19,WO Amendment,Finishing WO amendment,d703e801-5bbd-4fe0-ae62-257336c4c761,0e07eb88-8953-4d0e-ba74-a2a5ed1aa681,open,DVW2J8GUNHESYYKC,user,2025-06-14 00:00:00,f0082b67-11b1-434e-b1b3-72fc53ea8ea7,,,3NH2Q57QKQWJE37V,78c8bb5b-5a1b-4acf-8579-b6bcd526b110,20fe858c-b2eb-4a1b-8e40-c3aa5367f4e1,,,,3NH2Q57QKQWJE37V,2025-06-11 12:17:54.517,,,3NH2Q57QKQWJE37V,2025-06-11 12:17:54.562,CMJ2N3U8MSMRM8ZA,2025-07-24 08:17:52.462,2025-06-12 00:00:00,,,t,,
8f9c1306-00d0-46de-9303-78d4f3b427b7,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,13,Issuance of Work Order,Landscape Work Order,d703e801-5bbd-4fe0-ae62-257336c4c761,5a62dba0-7957-4aee-9eb5-1cedb558f28f,open,490203459,role,2025-06-27 00:00:00,a015125e-b466-43c8-a73a-8a430df848f0,,,3NH2Q57QKQWJE37V,78c8bb5b-5a1b-4acf-8579-b6bcd526b110,20fe858c-b2eb-4a1b-8e40-c3aa5367f4e1,,,,3NH2Q57QKQWJE37V,2025-05-30 05:14:22.094,,,3NH2Q57QKQWJE37V,2025-05-30 05:14:22.107,CMJ2N3U8MSMRM8ZA,2025-07-24 08:20:00.742,2025-07-09 00:00:00,,,t,,
4c092a7d-fac5-4808-acbd-5776c34d063d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,24,Finishing Drawings,Finishing Drawings required,3066072e-a352-5078-b174-7a83d08807f9,79fcdc74-0b40-41b5-9f71-91971017ae8d,open,DX6J5SASN4NA66QN,user,2025-07-31 00:00:00,a015125e-b466-43c8-a73a-8a430df848f0,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,DVW2J8GUNHESYYKC,6b563f68-7e5d-4303-af03-73b123e17f12,27fc382d-1ca2-4ab1-a2f5-32344038e670,,,,DVW2J8GUNHESYYKC,2025-06-16 11:34:19.025,,,DVW2J8GUNHESYYKC,2025-06-16 11:34:19.031,CMJ2N3U8MSMRM8ZA,2025-07-24 08:25:27.937,2025-07-24 00:00:00,,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/50b5ee87-4a9a-49ff-a174-eeb3e76a5206,t,,
e91132a5-0b1d-4b59-b0fe-a6530ef4c966,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,16,RFI Response,RFI-15 response awaited,3066072e-a352-5078-b174-7a83d08807f9,8654ad66-e5dd-440b-ac28-5a268c3c57c5,open,G5LJ2CH9PRAMRT7X,user,2025-07-28 00:00:00,f0082b67-11b1-434e-b1b3-72fc53ea8ea7,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,E8X2CHN6NP9MT4HA,d1d4e0cd-9a3b-4dfb-a978-01a765c9eb47,f6e0605d-517c-4e72-af25-0700e722bd23,,,,E8X2CHN6NP9MT4HA,2025-05-31 05:42:56.753,,,E8X2CHN6NP9MT4HA,2025-05-31 05:42:56.762,CMJ2N3U8MSMRM8ZA,2025-07-24 08:29:50.011,2025-07-24 00:00:00,,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/531ad930-fcc3-4aaa-99c0-67f6572a5f2a,t,,
032be418-49c5-4aca-b2ff-58a4d8324a41,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,22,Issuance of Work Order,Civil Contractor Work Order,d703e801-5bbd-4fe0-ae62-257336c4c761,5a62dba0-7957-4aee-9eb5-1cedb558f28f,closed,BHQ2NZXYNGAXFVRM,user,2025-07-28 00:00:00,f0082b67-11b1-434e-b1b3-72fc53ea8ea7,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,DVW2J8GUNHESYYKC,78c8bb5b-5a1b-4acf-8579-b6bcd526b110,20fe858c-b2eb-4a1b-8e40-c3aa5367f4e1,,,,DVW2J8GUNHESYYKC,2025-06-16 11:32:46.698,CMJ2N3U8MSMRM8ZA,2025-07-24 09:09:06.983,DVW2J8GUNHESYYKC,2025-06-16 11:32:46.71,CMJ2N3U8MSMRM8ZA,2025-07-24 09:09:06.99,2025-07-25 00:00:00,,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/903d2b61-d6f3-4651-887e-b33639ca0dbc,t,,
17f355cb-97c9-411e-8312-cbf5c75d6900,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2,Coordination,Beam to be moved,e56a8f6c-241a-5b0f-a393-f174d39920a3,38b692e8-3c3c-5a5d-a896-9e6a3927e8c2,open,CMJ2N3U8MSMRM8ZA,user,,,,urn:adsk.wipprod:dm.lineage:80rnVG0dQlm12R-OQUv3FA,Z3429E4KRUPBNHD4,,,,,,Z3429E4KRUPBNHD4,2025-03-12 06:38:10.358,,,Z3429E4KRUPBNHD4,2025-03-12 06:38:10.367,Z3429E4KRUPBNHD4,2025-07-24 09:10:00.598,,2025-07-24 09:10:00.524,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/0a8c0ca7-e831-4d83-938d-2f817ceecc2b,t,,CMJ2N3U8MSMRM8ZA
476772a8-68c6-4598-b5ab-044a373daac8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,1,Commissioning,,5265f4c4-27eb-5b28-9491-35fb7e411e75,e6772417-baa4-5bfc-bef4-032e28fd5a63,open,,,,,,,EHAJMY6KJEY6BP5Y,,,,,,EHAJMY6KJEY6BP5Y,2025-03-07 07:47:18.369,,,EHAJMY6KJEY6BP5Y,2025-03-07 07:47:18.397,CMJ2N3U8MSMRM8ZA,2025-07-24 09:10:00.598,,2025-07-24 09:10:00.524,,t,,CMJ2N3U8MSMRM8ZA
dcc9a82e-6570-442a-9840-9b6c6f5454c7,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4,Design,Ssdcffs,3066072e-a352-5078-b174-7a83d08807f9,2648a979-4f2d-53d0-8d61-ad651f940314,open,,,,,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,QNTJJ3CVR726KX4Z,,,,,,QNTJJ3CVR726KX4Z,2025-04-22 11:43:58.003,,,QNTJJ3CVR726KX4Z,2025-04-22 11:43:58.013,QNTJJ3CVR726KX4Z,2025-07-24 09:10:00.598,,2025-07-24 09:10:00.524,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/257e001f-b881-4ec1-bce2-affa0d3bf774,t,,CMJ2N3U8MSMRM8ZA
9f6ba8b2-2370-4012-a64f-e817ace9e4dc,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,11,Commissioning,,5265f4c4-27eb-5b28-9491-35fb7e411e75,e6772417-baa4-5bfc-bef4-032e28fd5a63,open,,,,,,urn:adsk.wipprod:dm.lineage:hPuURcRoTZaIF0MMQl5O_g,3NH2Q57QKQWJE37V,,,,,,3NH2Q57QKQWJE37V,2025-05-30 05:04:06.863,,,3NH2Q57QKQWJE37V,2025-05-30 05:04:06.871,3NH2Q57QKQWJE37V,2025-07-24 09:10:09.635,,2025-07-24 09:10:09.611,urn:adsk.objects:os.object:ng-issues-prod-ada6015d-9fce-4f2c-b20f-fc9122d2face/a183040b-116a-40a0-a096-dc8caa9a7a3c,t,,CMJ2N3U8MSMRM8ZA
e43f02cd-14c5-428a-be79-e119725761b7,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12,Commissioning,,5265f4c4-27eb-5b28-9491-35fb7e411e75,e6772417-baa4-5bfc-bef4-032e28fd5a63,open,,,,,,,3NH2Q57QKQWJE37V,,,,,,3NH2Q57QKQWJE37V,2025-05-30 05:13:58.985,,,3NH2Q57QKQWJE37V,2025-05-30 05:13:58.995,3NH2Q57QKQWJE37V,2025-07-24 09:10:09.635,,2025-07-24 09:10:09.611,,t,,CMJ2N3U8MSMRM8ZA
