id,bim360_account_id,name,status
440c92d0-4c12-47d2-9789-d727c4673829,bf996092-8d66-408a-8d8e-5065ca3330c2,Subcontractor,inactive
02e600aa-3eb1-4695-9be7-4bcd5286afb0,bf996092-8d66-408a-8d8e-5065ca3330c2,Contractor,active
01ee8a5c-e88f-4d1b-922b-86969cbef45f,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Project Manager,active
24894ac3-91c1-4e96-90d6-87002be5f4ad,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Planning Engineer,active
3fcf3ad8-d81a-4234-996b-e900841c3c03,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Billing Engineer,active
d7f33a84-d306-4bd6-9937-db1adac70cbe,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Safery Engineer,active
543a49e3-7953-4119-a8a3-38c8209b8e23,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Quality Engineer,active
0ddb153e-3674-47a6-abad-d0dfaaca76da,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Surveyor,active
eb003c39-164c-4135-a42a-4f29e65be7d9,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Store,active
965e1d70-df1a-4926-a505-0b2ce2bef923,bf996092-8d66-408a-8d8e-5065ca3330c2,VKJ - Site Engineer,active
4d771f7b-baee-4e55-a6e7-f06c012f9a06,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Supervisor,active
cfff5950-5a05-44bf-9dca-24491016f965,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Foreman,active
53ec5913-f1c8-4e4e-8cab-169440145e34,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Manager,active
674a9a25-2f05-456b-8d63-5d688b2ccf09,bf996092-8d66-408a-8d8e-5065ca3330c2,Checker - Quality,active
46eee6fa-bd94-4b64-adf2-3f55e81df972,bf996092-8d66-408a-8d8e-5065ca3330c2,Approver - Quality,active
d221b030-1782-4142-8fa9-9d13508ff1ae,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Engineer,active
47431d0e-fdae-4e6a-bf62-468e27f3095a,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Head,active
584fb119-d5ac-4324-b467-a7ec57b7d375,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Administration Lead,inactive
17bbc78b-00e0-4191-b6ae-36c44d8cb052,bf996092-8d66-408a-8d8e-5065ca3330c2,D-Wall Consultant,active
420aa253-2c31-4f4e-823a-b13c13f083dc,bf996092-8d66-408a-8d8e-5065ca3330c2,Management Trainee,active
5e269ca8-d6f2-4667-a081-eff7b41a780f,bf996092-8d66-408a-8d8e-5065ca3330c2,Wagad - Site Engineer,active
966d4358-c90a-487c-a885-e045194ba895,bf996092-8d66-408a-8d8e-5065ca3330c2,Wagad - Project Manager,active
41dbcf66-471e-4cc9-bfa8-8253ae509c3d,bf996092-8d66-408a-8d8e-5065ca3330c2,Director - Rahlan,active
90591767-c70f-41c0-a71d-d3da2827d765,bf996092-8d66-408a-8d8e-5065ca3330c2,Project Manager - Civil Contractor,active
06e76c97-5bc7-4243-840c-fe833d41cadb,bf996092-8d66-408a-8d8e-5065ca3330c2,Billing Engineer - Civil Contractor,active
3efe3dd6-3ce4-4989-ab26-966f9e82b3b2,bf996092-8d66-408a-8d8e-5065ca3330c2,Coordination- Structure,active
ccdf8eb8-b53b-406f-8be7-321adce5edf7,bf996092-8d66-408a-8d8e-5065ca3330c2,Architect,inactive
e5d3bbf0-844b-4f74-94f2-4bf0b1740d50,bf996092-8d66-408a-8d8e-5065ca3330c2,BIM Manager,inactive
a41ca2b0-e398-49d1-92de-187f6d41524a,bf996092-8d66-408a-8d8e-5065ca3330c2,Construction Manager,inactive
aed21e25-b6e7-4dc5-a98e-6c706e2bbec3,bf996092-8d66-408a-8d8e-5065ca3330c2,Document Manager,inactive
27f14658-00c7-4c66-8b54-25aa3c79aa2a,bf996092-8d66-408a-8d8e-5065ca3330c2,Engineer,inactive
866ea3b3-a381-464e-ab2d-0712065eac16,bf996092-8d66-408a-8d8e-5065ca3330c2,VDC Manager,inactive
55c1a0c3-9fa8-4ec4-bf28-d432b35b70fb,bf996092-8d66-408a-8d8e-5065ca3330c2,Estimator,inactive
