id,bim360_account_id,bim360_project_id,item_id,name,revision,created_by,created_at,updated_at,updated_by,upload_urn,category_id,category_value,task_id,is_file_uploaded,urn
6a2768e8-1795-46b0-a5f9-58d5d42bde4b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,e5bcfa04-284b-48dd-ba15-d98ccc34b3d5,Form detail report-202506031057.pdf,0,YEYJGRGXQH2X5DAY,2025-06-04 07:26:19.049725,2025-06-21 05:29:35.596386,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/6c185bfa-b4b7-45bd-8f5d-b5945944b6e0.pdf,1,Submission,,f,
3fc26a36-2b94-4cac-a574-b704f4f66f34,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4c67a73c-863c-4b2b-9a6d-7885a4e567de,Snowdon Towers Sample Architectural - All Floors.pdf,0,Z3429E4KRUPBNHD4,2025-06-05 10:42:23.461201,2025-06-05 10:58:28.304019,V9Q2X946QA52XTJG,urn:adsk.objects:os.object:wip.dm.prod/8ecdc944-b19e-4b3f-ae5e-c7e4057f2174.pdf,6,Previous For Review,,t,urn:adsk.wipprod:fs.file:vf.nbrcUG32ST64uyXVF5vBbg?version=1
2f5eac37-1238-49f2-87ad-c5e03ff1b5a2,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,69171437-babc-4d78-957a-48d72368b6bc,Work Flow-Final (VDN).xlsx,0,V9Q2X946QA52XTJG,2025-06-03 06:29:22.282193,2025-06-03 06:51:56.950096,V9Q2X946QA52XTJG,urn:adsk.objects:os.object:wip.dm.prod/770776ba-a0cf-46a7-b4fe-9223fbc8ca07.xlsx,3,Review Response,32a4baab-b5a4-4269-a87d-0a4e1b49dcbb,t,urn:adsk.wipprod:fs.file:vf.Cyk9B5rRRmuiQYNo6D0XTQ?version=1
1f7c748a-dbde-4a28-befd-b789e0eece84,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,03c32be5-6e83-4c26-a2a8-a9e47d80e4aa,Form detail report-202506031057.pdf,0,YEYJGRGXQH2X5DAY,2025-06-03 11:17:26.6022,2025-06-03 11:20:57.068845,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/6d88bee4-d5c3-464b-9d5c-22f27196e000.pdf,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.P3KACPPaS4aStmxbQbq5pg?version=1
951edec8-6e11-4263-85c1-da560c217581,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,56d2fc99-2d0b-48ab-93e5-ecb4719f30f6,Submittals - Prerequisite.xlsx,0,YEYJGRGXQH2X5DAY,2025-06-13 05:45:05.165415,2025-06-13 05:51:08.111025,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/3a8d3256-f5f2-4d88-b4ec-36656c4609c3.xlsx,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.cn-Ep3h1R-6UWNq-Lh--0w?version=1
2217cc33-18ec-41a0-926e-01f00e4a6e0d,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,56d2fc99-2d0b-48ab-93e5-ecb4719f30f6,File nomenclature for Club - Budget.xlsx,0,YEYJGRGXQH2X5DAY,2025-06-13 05:45:05.173605,2025-06-13 05:51:08.111025,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/a588e1d5-83f0-49aa-8775-dd0f2c92fc0c.xlsx,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.KahyyC_mQpiRNqefU-pmLA?version=1
b4b223d3-59ab-4b03-b621-366bcb5cde82,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4e3c9d93-ae7f-4774-9ac1-dbdab0dffe17,OMAXE GHAZIABAD - TENDER DRAWING - RA.DWG,0,YEYJGRGXQH2X5DAY,2025-06-13 05:52:18.643652,2025-06-13 06:02:39.204478,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/de2dd10a-ec16-48f9-942d-71bb4d9cd4dc.DWG,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.VWwJJys5Qqulyj51hcf0TQ?version=1
a364c701-6d6b-4c8e-b7dd-8ba7927baf08,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4e3c9d93-ae7f-4774-9ac1-dbdab0dffe17,Screenshot (1).png,0,YEYJGRGXQH2X5DAY,2025-06-13 05:52:18.625561,2025-06-13 06:02:39.204478,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/68659405-b6e3-479e-bae8-a035ee46109f.png,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.OHKfrXYpTeC7lvr11b7t4A?version=1
fc6aad5d-7eaa-4846-adbb-a73f292a50fb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4e3c9d93-ae7f-4774-9ac1-dbdab0dffe17,Concrete Cube Register -Final.xlsx,0,YEYJGRGXQH2X5DAY,2025-06-13 05:52:18.642099,2025-06-13 06:02:39.204478,YEYJGRGXQH2X5DAY,urn:adsk.objects:os.object:wip.dm.prod/9bdc9c21-479d-4209-9b0b-e6260c569944.xlsx,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.MvkAoIpqT-WZbcUmdKU71g?version=1
bf0f9cec-e51d-4c48-8992-ca8c3e27158a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,a4456dea-053b-474a-b3d3-f9a44ef81ac1,Submission of RA-07 Ghaziabad (Omaxe) Bus Port U.P. - 11-08-2025.xlsx,0,YQH2SLPMM8Q48DDT,2025-08-18 11:52:00.002779,2025-08-18 11:52:31.559763,YQH2SLPMM8Q48DDT,urn:adsk.objects:os.object:wip.dm.prod/01512103-1108-4e55-9691-ed25ef5e6a9e.xlsx,1,Submission,,t,urn:adsk.wipprod:fs.file:vf.hYVl-TTiTFqxnTT9IoEOsw?version=1
