id,bim360_account_id,bim360_project_id,date,summary_key,temperature_min,temperature_max,humidity,wind_speed,wind_gust,wind_bearing,fetched_at,precipitation_accumulation
20125491,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-23,Rain,78.782,89.636,0.760,8.8,,113,2025-08-24 04:56:44.61263,0.374803149606299
20180445,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-24,Rain,78.926,87.836,0.770,11.4,,93,2025-08-25 06:48:40.924349,0.755118110236221
20180446,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-25,Rain,78.674,85.856,0.820,10.1,,122,2025-08-26 06:58:15.30655,0.826377952755906
20186554,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-26,Thunderstorms,78.494,89.582,0.780,6.4,,114,2025-08-26 12:28:09.39334,0.568110236220472
20193390,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-22,Thunderstorms,78.98,89.636,0.750,3.9,,109,2025-08-26 14:06:33.910822,0.15748031496063
20193391,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-23,Thunderstorms,79.358,88.97,0.770,5.3,,87,2025-08-26 14:29:34.388312,0.62007874015748
20193392,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-24,Thunderstorms,78.584,89.222,0.750,7.7,,109,2025-08-26 14:33:34.334108,0.520866141732284
20193393,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-25,Rain,78.224,85.712,0.810,9.7,,110,2025-08-26 05:02:36.302365,0.733070866141732
20193394,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-26,Thunderstorms,77.972,86.378,0.800,9.3,,124,2025-08-26 14:33:34.334629,0.936220472440945
20251717,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-27,Thunderstorms,79.592,91.58,0.730,5.9,,106,2025-08-27 14:27:02.960961,0.00905511811023622
20251718,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-08-28,Thunderstorms,80.654,90.356,0.760,7.9,,95,2025-08-28 13:22:31.962786,0.109842519685039
20252095,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-08-19,Thunderstorms,80.222,90.59,0.730,6.3,,85,2025-08-19 04:39:43.956801,0.138976377952756
20398828,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-08,Cloudy,81.464,92.534,0.660,6.6,,307,2025-08-25 12:39:09.223436,0.0330708661417323
20401666,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-08-10,Rain,77.81,88.862,0.770,4.0,,323,2025-08-25 13:28:49.533338,0.34251968503937
