id,updated_at,predicted_at,risk,score,bim360_account_id,bim360_project_id
bb9665af-a15e-4e99-8e86-9e5464b23c45,2025-05-21 12:31:26.082,2025-05-21 13:01:02.276498,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
cdad1adc-45ec-4168-82b0-16632c84986e,2025-05-22 09:20:06.907,2025-05-22 09:54:08.008283,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,2025-05-22 10:19:41.649,2025-05-22 10:42:00.475988,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
337cf77d-9035-4ea4-b98c-9343ef205817,2025-05-22 10:43:52.264,2025-05-22 10:57:38.558886,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
4dbed860-0879-4aa4-9a98-1f20405dd952,2025-05-23 09:40:04.931,2025-05-23 10:20:47.018621,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,2025-05-30 04:27:01.126,2025-05-30 09:31:30.37139,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
45153a66-5422-4e2f-9a8e-0e3713ff9d2f,2025-06-16 12:11:59.532,2025-06-16 12:31:30.442145,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
7282e0b3-873b-4574-bd2c-3fc97d553ee9,2025-06-20 12:35:20.27,2025-06-20 13:00:01.072928,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
0cd75373-6a38-46af-b878-5abccb5640ca,2025-07-05 03:48:48.609,2025-07-05 09:30:03.713228,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
96a263f8-ed22-464e-91e0-cfa64dc3b89b,2025-07-25 05:03:23.361,2025-07-25 09:32:50.626426,high,1.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
2623b592-b957-46c8-868e-77cb4788d069,2025-07-22 06:08:23.902,2025-07-22 09:29:30.31487,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
86d9b4a1-5f2b-4586-94a4-b228db89c15c,2025-07-22 06:07:08.292,2025-07-22 09:29:53.310038,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
c8303991-6637-47f8-9144-8a38071905db,2025-08-20 10:52:44.886,2025-08-20 11:25:10.795413,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
fe2169f5-b6cd-4241-b7a7-464aeb6ed752,2025-08-20 11:05:48.344,2025-08-20 11:41:16.059468,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
79d38989-fc0e-4b82-a3ee-4a3775d7c7d6,2025-08-20 13:26:44.117,2025-08-20 14:00:47.788864,high,2.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
ea1b0668-a085-40d5-9a39-6dac25ebe48e,2025-08-26 08:56:54.224,2025-08-26 09:33:22.770108,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,2025-05-29 10:28:33.767,2025-05-29 10:59:52.613233,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
c1b95096-23e6-4519-8f28-09c0eb95fafd,2025-06-28 06:43:45.111,2025-06-28 09:29:20.22183,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
e911b3a0-8a76-4e79-8397-1a01a94d58bb,2025-06-19 06:36:27.093,2025-06-19 09:29:54.127006,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
bbbe4f4d-c828-4278-acf3-729f1793774a,2025-05-19 09:24:31.457,2025-05-19 09:50:00.560821,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
346cb945-c348-4f4c-8402-11dc4e7e4628,2025-05-23 08:27:12.048,2025-05-23 09:32:14.518016,low,0.000000,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
