attribute_mappings_id,bim360_account_id,bim360_project_id,list_id,list_value
605bbbeb-8205-4c7e-97bb-8c78d5813f35,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cd20ba1c-8525-44c5-a998-94745097f9b3,architecture
69d019e3-6471-402c-a85e-5137306affc5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,90d50409-d451-439d-80c4-02829576cc55,S
69d019e3-6471-402c-a85e-5137306affc5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,6669a7c8-3fb9-4838-ac25-e97ec72b4c4f,D
