id,bim360_account_id,bim360_project_id,item_id,updated_by,updated_at,created_by,created_at,body
72aef16f-bd3b-4dac-b0ef-b313da4d04a6,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,944fa64f-487a-4edd-b174-4bafc335ecce,V9Q2X946QA52XTJG,2025-06-23 10:31:36.067837,V9Q2X946QA52XTJG,2025-06-23 10:21:14.562669,"@{""type"": ""member"", ""id"": ""3NGJNZCXN8PBNTRV"", ""name"": ""Pankaj Kumar""} please check MB"
a13e2ffd-5e7f-4c42-9c31-3aca88a56087,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,fe23b77b-6d6d-4fcc-80be-a0d9fcb658d8,V9Q2X946QA52XTJG,2025-06-17 07:43:39.12636,V9Q2X946QA52XTJG,2025-06-17 07:18:18.879897,"@{""type"": ""member"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} please ask contractor to revise and resubmit."
7b8fc0cc-2933-4fb9-bbdf-b55873e8d039,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,fe23b77b-6d6d-4fcc-80be-a0d9fcb658d8,5HF27NF2JLGRJEMD,2025-06-17 07:43:39.12636,5HF27NF2JLGRJEMD,2025-06-17 07:43:23.451577,OK
7970618c-e85f-4658-8fd9-705c1162c936,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,83198dcc-345f-482b-8fc2-0c3e57fd8e7a,V9Q2X946QA52XTJG,2025-06-21 10:41:05.47174,V9Q2X946QA52XTJG,2025-06-21 10:37:11.504145,"@{""type"": ""member"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} Please check for documents"
bc9959a9-8774-488d-b35f-869e9e09884c,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,df6d7391-1867-43fa-a350-c3f677f87572,CMJ2N3U8MSMRM8ZA,2025-08-01 04:24:12.419748,CMJ2N3U8MSMRM8ZA,2025-08-01 04:23:56.898439,"@{""type"": ""member"", ""id"": ""LVH2DEFULGBL4AFH"", ""name"": ""Jaydeep Wagh""} review is awaited.
@{""type"": ""member"", ""id"": ""G5LJ2CH9PRAMRT7X"", ""name"": ""Dushyant Verma""} please look into the same."
a397fa6b-a569-4e75-b6b8-ca47dc972cb0,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,df6d7391-1867-43fa-a350-c3f677f87572,S762NMGBKUB423MM,2025-08-01 04:24:12.419748,S762NMGBKUB423MM,2025-07-09 10:36:12.874153,"@{""type"": ""member"", ""id"": ""YNUJS2S8LSSR8AJW"", ""name"": ""Sunil Yadav""} 
Kindly review and submit"
