weather_id,bim360_account_id,bim360_project_id,hour,summary_key,temp,wind_speed,wind_bearing,humidity,fetched_at,created_at,updated_at
19389392,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,91.958,12.4,74,0.640,2025-07-29 12:54:09.474068,2025-07-17 04:25:07.770795,2025-07-29 12:54:09.498215
19458683,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,80.042,7.2,85,0.920,2025-08-03 05:43:51.568623,2025-07-21 04:49:42.39867,2025-08-03 05:43:51.587022
19458683,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,85.244,10.3,116,0.820,2025-08-03 05:43:51.56892,2025-07-21 04:49:42.398676,2025-08-03 05:43:51.588258
19458683,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,86.99,10.5,110,0.780,2025-08-03 05:43:51.569157,2025-07-21 04:49:42.398678,2025-08-03 05:43:51.58826
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,81.392,3.7,228,0.920,2025-08-12 05:29:57.764898,2025-08-02 07:37:19.264043,2025-08-12 05:29:57.785657
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,87.062,4.5,257,0.810,2025-08-12 05:29:57.765202,2025-08-02 07:37:19.264045,2025-08-12 05:29:57.786641
19812217,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,87.296,2.8,290,0.790,2025-08-12 05:29:57.76544,2025-08-02 07:37:19.264046,2025-08-12 05:29:57.786643
19871644,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,79.772,7.0,88,0.920,2025-08-20 10:13:17.095732,2025-08-05 12:35:57.208202,2025-08-20 10:13:17.122479
19871644,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,MostlyCloudy,86.99,9.1,102,0.780,2025-08-20 10:13:17.096094,2025-08-05 12:35:57.208205,2025-08-20 10:13:17.123393
19871644,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,PartlyCloudy,89.69,8.1,90,0.710,2025-08-20 10:13:17.096384,2025-08-05 12:35:57.208206,2025-08-20 10:13:17.123395
18668822,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,07:00:00,MostlyCloudy,81.986,5.5,105,0.910,2025-06-29 04:56:14.942257,2025-06-19 04:44:02.477865,2025-06-29 04:56:14.95881
18668822,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,12:00:00,Cloudy,86,7.3,100,0.820,2025-06-29 04:56:14.942559,2025-06-19 04:44:02.477868,2025-06-29 04:56:14.958812
18668822,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,16:00:00,Cloudy,88.268,8.5,94,0.760,2025-06-29 04:56:14.942807,2025-06-19 04:44:02.477869,2025-06-29 04:56:14.958813
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Rain,79.592,5.7,83,0.940,2025-08-03 04:12:36.9129,2025-07-20 05:26:03.536213,2025-08-03 04:12:36.934716
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,83.48,5.6,88,0.830,2025-08-03 04:12:36.913194,2025-07-20 05:26:03.536216,2025-08-03 04:12:36.935877
19453078,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Cloudy,85.586,7.4,96,0.790,2025-08-03 04:12:36.913429,2025-07-20 05:26:03.536217,2025-08-03 04:12:36.935878
18790570,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,MostlyCloudy,80.33,9.0,97,0.890,2025-07-03 12:48:54.334378,2025-06-24 05:31:23.448365,2025-07-03 12:48:54.986004
18790570,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,PartlyCloudy,88.61,9.9,101,0.720,2025-07-03 12:48:54.33467,2025-06-24 05:31:23.448368,2025-07-03 12:48:54.986007
18790570,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,91.076,7.0,109,0.650,2025-07-03 12:48:54.334899,2025-06-24 05:31:23.448369,2025-07-03 12:48:54.986008
