bim360_account_id,bim360_project_id,id,identifier,title,created_at,created_by,updated_at,updated_by
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,4945f9c2-d527-4bd0-a882-d929875090fc,CB,Certified Bill,2025-06-10 10:56:04.568365,V9Q2X946QA52XTJG,2025-06-10 10:56:05.577119,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,ee5d9642-6c40-472f-a020-579c7a06eaa1,ADHOC,ADHOC Bill,2025-06-10 10:55:51.334996,V9Q2X946QA52XTJG,2025-06-10 10:56:05.577119,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,285960a1-ef70-4f25-b603-df57ed4ba840,MS,Method Statements,2025-06-10 10:56:23.857497,V9Q2X946QA52XTJG,2025-06-10 10:56:35.577134,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,111313fc-d765-4468-9ad1-0c65cb55fe8d,SD,Shop Drawings,2025-06-10 10:56:50.271571,V9Q2X946QA52XTJG,2025-06-10 10:57:05.578368,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,a23b0739-69ed-43c7-98a8-fd098ca2ab8a,PSB,"Products, Specifications & Brochures",2025-06-10 10:56:37.656038,V9Q2X946QA52XTJG,2025-06-10 10:57:05.578368,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,be4d47b0-f645-4be7-bf3a-a937db31c4f2,MISC,Miscellaneous,2025-06-10 10:57:38.316657,V9Q2X946QA52XTJG,2025-06-10 10:58:05.6022,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b75d6874-9ed9-4c7c-a97e-3a46464edc13,ADHOC,ADHOC Bill,2025-05-23 06:57:29.238662,V9Q2X946QA52XTJG,2025-07-18 10:55:16.010844,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,18a6d444-7366-43b3-987f-26f24e8307e1,CB,Certified Bill,2025-05-23 09:15:06.376899,V9Q2X946QA52XTJG,2025-07-18 10:55:16.010844,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,ac181349-c7b6-4d97-b9f6-b64a42f40815,MISC,Miscellaneous,2025-05-16 11:56:42.615152,V9Q2X946QA52XTJG,2025-07-18 10:55:16.010844,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,37483c2a-8af5-4012-8c48-68624f822ec2,CB,Certified Bill,2025-06-11 06:20:58.626092,V9Q2X946QA52XTJG,2025-06-11 06:21:06.126168,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,8e25e6f3-3a15-405f-879e-67c44382ed9c,MS,Method Statements,2025-06-11 06:21:25.769578,V9Q2X946QA52XTJG,2025-06-11 06:21:36.124112,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,8b2ee7ea-fabc-455e-b84e-1600eca7af5e,SD,Shop Drawings,2025-06-11 06:22:02.063812,V9Q2X946QA52XTJG,2025-06-11 06:22:06.151517,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,b4860b69-8892-449c-b6c2-a8be8ab37f25,ADHOC,ADHOC Bill,2025-06-11 06:20:31.366533,V9Q2X946QA52XTJG,2025-06-11 06:20:36.169892,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,c570ed3f-a477-4e96-80eb-eca62590486b,PSB,"Products, Specifications & Brochures",2025-06-11 06:21:47.876518,V9Q2X946QA52XTJG,2025-06-11 06:22:06.151517,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,28281bbb-c0dd-49d2-87db-6eee1f70c6b8,GA,GA Drawings,2025-06-11 06:22:11.280604,V9Q2X946QA52XTJG,2025-06-11 06:22:36.124357,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,ae1d590b-ac08-40e4-ba01-8dcec0b284f2,MISC,Miscellaneous,2025-06-11 06:22:28.660989,V9Q2X946QA52XTJG,2025-06-11 06:22:36.124357,V9Q2X946QA52XTJG
bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,68bfb30e-f8a4-4ecb-8eaf-f232d554e81f,GA,GA Drawings,2025-06-11 06:41:19.546879,79T2CE6UN3P72JR2,2025-06-11 06:41:36.127617,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,b85f1157-0ffc-4151-b1a8-384789227ff4,MISC,Miscellaneous,2025-06-11 09:04:08.850861,79T2CE6UN3P72JR2,2025-06-11 09:04:36.155224,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,9b18f52a-db86-4dce-9254-79f56d3b520c,ADHOC,ADHOC Bill,2025-06-11 09:02:18.548744,79T2CE6UN3P72JR2,2025-06-11 09:02:36.170312,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,9a0b460e-f55e-48a1-b7ae-c31f77e70688,CB,Certified Bill,2025-06-11 09:02:37.747384,79T2CE6UN3P72JR2,2025-06-11 09:03:06.143851,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,c4f9606f-d74d-4ca8-89c3-0d6e9e8df752,MS,Method Statements,2025-06-11 09:02:53.325227,79T2CE6UN3P72JR2,2025-06-11 09:03:06.143851,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,aa7013bd-726a-4396-b8c3-71e3f00de70d,PSB,"Products, Specifications & Brochures",2025-06-11 09:03:15.548001,79T2CE6UN3P72JR2,2025-06-11 09:03:36.144732,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,c121a7a3-1de6-4447-88f3-d6b8b413434e,GA,GA Drawings,2025-06-11 09:03:52.354617,79T2CE6UN3P72JR2,2025-06-11 09:04:06.144103,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,bb545cb7-aff6-4472-8d08-1ffc0c981d6a,SD,Shop Drawings,2025-06-11 09:03:38.556654,79T2CE6UN3P72JR2,2025-06-11 09:04:06.144103,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,56a135bf-80d9-4f28-8287-a119bf3e8ef2,GA,GA Drawing,2025-06-11 09:46:24.305039,79T2CE6UN3P72JR2,2025-06-11 09:46:36.160113,79T2CE6UN3P72JR2
bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d9db3f87-2e67-4d63-afac-89f13a92a733,101,Coordination Review,2025-08-28 07:13:42.456936,D5ZKMDH5JP7L,2025-08-28 07:14:05.107458,D5ZKMDH5JP7L
