id,bim360_account_id,bim360_project_id,mapped_item_type,mapped_item_id,title,description,data_type,order,is_required,created_at,created_by,updated_at,updated_by
13a9d880-1b48-4a7d-b899-15767e7dba19,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,issueType,d703e801-5bbd-4fe0-ae62-257336c4c761,Test,ABC,text,0,f,2025-05-27 11:12:46.689,V9Q2X946QA52XTJG,2025-05-27 11:12:46.689,V9Q2X946QA52XTJG
3a503ba0-ab55-44f3-8689-398a3b77afe4,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,issueType,dce55c43-0a1d-475a-a234-8b7b117f357c,priority,,text,0,f,2025-06-09 09:15:53.733,3NH2Q57QKQWJE37V,2025-06-09 09:15:53.733,3NH2Q57QKQWJE37V
164afd8d-0fb9-45b5-abe4-394ae7e37d28,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,issueSubtype,a72597d8-d2ff-47e2-bd2e-7abbe7ca7546,priority,,text,0,f,2025-06-09 09:16:38.766,3NH2Q57QKQWJE37V,2025-06-09 09:16:38.766,3NH2Q57QKQWJE37V
605bbbeb-8205-4c7e-97bb-8c78d5813f35,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,issueType,52bf023b-a895-4782-8d35-4e9f19e7f4e9,design conflict,,list,0,f,2025-07-18 06:02:39.709,CMJ2N3U8MSMRM8ZA,2025-07-18 06:02:39.709,CMJ2N3U8MSMRM8ZA
13a0b8ab-86ed-467e-b73e-b6b6a6d76d2c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,issueType,52bf023b-a895-4782-8d35-4e9f19e7f4e9,Test,ABC,text,1,f,2025-07-18 06:02:39.709,CMJ2N3U8MSMRM8ZA,2025-07-18 06:02:39.709,CMJ2N3U8MSMRM8ZA
76e41a1c-4c40-4b8c-ae27-f9a54ccb2e97,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,issueSubtype,0e07eb88-8953-4d0e-ba74-a2a5ed1aa681,A,,numeric,0,f,2025-07-18 06:14:00.333,CMJ2N3U8MSMRM8ZA,2025-07-18 06:14:00.333,CMJ2N3U8MSMRM8ZA
69d019e3-6471-402c-a85e-5137306affc5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,issueSubtype,0e07eb88-8953-4d0e-ba74-a2a5ed1aa681,W,,list,1,f,2025-07-18 06:14:00.333,CMJ2N3U8MSMRM8ZA,2025-07-18 06:14:00.333,CMJ2N3U8MSMRM8ZA
