rfi_id,bim360_account_id,bim360_project_id,user_id
5b720536-4706-4490-b00b-9d3e8f81a3ff,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,CMJ2N3U8MSMRM8ZA
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,YQH2SLPMM8Q48DDT
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,UVZ2LVH7JFCRPWMD
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,YJV2UM8AM54LC85B
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,3AJ2UBWNPMNWLHCM
63a8591c-f7bd-4448-8d90-e3894eb810e8,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,HJQ2F2PVKF9BT95Z
7282e0b3-873b-4574-bd2c-3fc97d553ee9,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,3NH2Q57QKQWJE37V
85a9b9a0-7602-43cb-8103-fcdcc3f3453b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7742DFDPRGGBE4ZZ
85a9b9a0-7602-43cb-8103-fcdcc3f3453b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,755J89QWMS5SYD8P
940d0f6c-6d48-4a8e-884b-f75a8b003042,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,V9Q2X946QA52XTJG
9bf2869f-da2e-4282-8c03-5588b932d8b4,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,V9Q2X946QA52XTJG
9bf2869f-da2e-4282-8c03-5588b932d8b4,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,CMJ2N3U8MSMRM8ZA
b0299193-39bf-4e3b-891f-8659b358ae85,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,DQ72WAMCK3PT3T58
bbbe4f4d-c828-4278-acf3-729f1793774a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,CMJ2N3U8MSMRM8ZA
bbbe4f4d-c828-4278-acf3-729f1793774a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7XGJKR7GMJ4QN93J
cdad1adc-45ec-4168-82b0-16632c84986e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,V9Q2X946QA52XTJG
e66c5a9d-a05d-4530-8c34-7e0e52b9a36b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,755J89QWMS5SYD8P
e66c5a9d-a05d-4530-8c34-7e0e52b9a36b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,5HF27NF2JLGRJEMD
ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,SFB2VPYZKPQ7XEGT
ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,3NH2Q57QKQWJE37V
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D5ZKMDH5JP7L
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,HAF3KK94JCSG
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,KNL28BHPJJMCM75F
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,U8Q2F3P4M3PWWQXF
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,UQ72RJ7QKZSW8XTA
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,VYKJ7GRWMX37AKTY
05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Y2W2RXA2P4MPP325
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,CMJ2N3U8MSMRM8ZA
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,C6Z2RETEN3MN8XZF
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,VYKJ7GRWMX37AKTY
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,D5ZKMDH5JP7L
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,KDBLMPH5JM9X
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,DQ72WAMCK3PT3T58
10cd0dbf-d97b-447a-965e-0eb1519625be,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Y2W2RXA2P4MPP325
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,DQ72WAMCK3PT3T58
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,S762NMGBKUB423MM
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Y2W2RXA2P4MPP325
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,KNL28BHPJJMCM75F
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,WK7J3NJWMTCK9UWQ
16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,UQ72RJ7QKZSW8XTA
