id,updated_at,predicted_at,root_cause,bim360_account_id,bim360_project_id
bb9665af-a15e-4e99-8e86-9e5464b23c45,2025-05-21 12:31:26.082,2025-05-21 12:49:59.864465,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
80ea0e55-fcfd-4c57-9188-712d6c8a9a08,2025-05-30 04:41:29.286,2025-05-30 09:24:03.405825,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,2025-05-30 04:27:01.126,2025-05-30 09:24:23.403578,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
45153a66-5422-4e2f-9a8e-0e3713ff9d2f,2025-06-16 12:11:59.532,2025-06-16 12:22:59.19917,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
bcae37c7-7f8f-43ab-974a-debf55497cc3,2025-06-09 06:09:54.117,2025-06-09 09:25:37.322641,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
fcdfb5a9-1e9c-4797-afb5-46f7615f2e46,2025-07-13 07:00:36.792,2025-07-13 09:25:48.971681,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
53f61369-aaca-4d22-952f-b49d2e81fbf4,2025-07-05 03:50:55.5,2025-07-05 09:20:51.310098,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
bff81e2b-9089-470d-8f07-7311d06b75a7,2025-07-23 04:58:58.879,2025-07-23 09:23:14.413914,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
edd56e40-575f-4677-9b28-55fe6b858745,2025-07-15 09:13:43.69,2025-07-15 09:39:23.902103,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
9442770e-e584-4ce9-87d8-309ec0e35dde,2025-07-13 07:07:31.777,2025-07-13 09:25:43.082566,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
87adb94e-c40f-4f41-be00-b99e961003af,2025-07-28 04:53:09.327,2025-07-28 09:23:13.616037,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
529f384b-b4b3-49bb-b473-b2921e49e125,2025-08-05 03:54:32.398,2025-08-05 09:25:45.023708,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac
b97e32fe-3759-4e91-99b1-0f27419ab2da,2025-08-25 06:18:34.204,2025-08-25 09:25:24.327936,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
c8303991-6637-47f8-9144-8a38071905db,2025-08-20 10:52:44.886,2025-08-20 11:10:12.543609,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
fe2169f5-b6cd-4241-b7a7-464aeb6ed752,2025-08-20 11:05:48.344,2025-08-20 11:35:23.125735,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
79d38989-fc0e-4b82-a3ee-4a3775d7c7d6,2025-08-20 13:26:44.117,2025-08-20 13:54:27.118616,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
ea1b0668-a085-40d5-9a39-6dac25ebe48e,2025-08-26 08:56:54.224,2025-08-26 09:22:17.961115,Documentation Conflict,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
9a80afc6-80e4-4198-a70b-6dc9474cddc8,2025-08-26 05:39:34.346,2025-08-26 09:21:55.827785,Other,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403
9bf2869f-da2e-4282-8c03-5588b932d8b4,2025-05-14 10:29:42.846,2025-05-14 10:51:33.268486,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
6f61287e-aabf-4244-9508-328892a68dcd,2025-06-10 08:35:28.952,2025-06-10 09:21:18.395322,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
bfaf378f-5271-4593-8374-2d1495aacea0,2025-05-14 11:27:38.03,2025-05-14 11:51:49.883134,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
4dbed860-0879-4aa4-9a98-1f20405dd952,2025-05-23 09:40:04.931,2025-05-23 10:09:55.498761,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601
cdad1adc-45ec-4168-82b0-16632c84986e,2025-05-22 09:20:06.907,2025-05-22 09:36:40.526133,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,2025-05-22 10:19:41.649,2025-05-22 10:36:33.878853,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
337cf77d-9035-4ea4-b98c-9343ef205817,2025-05-22 10:43:52.264,2025-05-22 10:54:04.98275,Documentation Incomplete,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face
