id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
629134747,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2b3dcb3f-372d-5482-91e0-6f0c29a02a4b,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134748,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,f0d17c8e-85da-5c55-927d-439720fa1c98,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134749,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,3edb10b6-5fb0-5737-8ac2-f85d2cabc11e,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134750,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,0c67558e-ca75-504d-b077-5f3e936f06db,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134751,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,851a112f-c361-583b-9263-57a9123c84d0,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134752,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,82652842-ec2c-5ac1-a4b4-adced352cdec,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134753,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,9227af62-8417-5572-ab09-de7f4ab55131,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134754,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,c507a9c4-6ea0-527f-b88c-ccfbe2dc2694,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134755,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,58b7dffe-b4ea-53d0-8d61-bff8725223a2,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
629134756,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7d3b0219-8f66-5ff4-99e4-d95888b5b34f,,,plangrid/rect,,2025-04-02 08:43:43.977664,,2025-04-02 08:43:44.897218,f,,,
