id,rfi_id,bim360_account_id,bim360_project_id,entity_id,entity_type,display_name,created_at,created_by,deleted_at,deleted_by
1f1e53c9-ce58-4e39-8ff7-5f227c0531b7,ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,ebae4fd9-7df4-4399-b7d0-5c192d69587c,rfiWebHiddenFiles,VDN-A-TA-1F-104-GFC.dwg,2025-08-24 23:19:29.149,CMJ2N3U8MSMRM8ZA,,
22bc9a5b-c047-4858-9f58-404de1018d34,bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,ea3e4ef0-7272-4d63-8244-52d070b3e1fd,rfiResponse,GZB-S-TA-RW-501-GFC.dwg,2025-07-17 10:45:39,FM42EJFZPNC5F3HF,,
51d5b471-e1e1-4289-b3ea-62752e700e7d,bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,ea3e4ef0-7272-4d63-8244-52d070b3e1fd,rfiResponse,GZB-S-TA-RW-501-GFC.pdf,2025-07-17 10:45:39,FM42EJFZPNC5F3HF,,
73bf182c-7fad-489f-b54f-ff8e9d61f0c5,346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,b05ad9fb-90fb-44ce-8ce4-58f136c49143,rfiResponse,5_RETAINING WALL DETAIL-2025-05-22.pdf,2025-05-22 12:42:19,FM42EJFZPNC5F3HF,,
efccbdb7-9999-4410-829a-527945696717,346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,b05ad9fb-90fb-44ce-8ce4-58f136c49143,rfiResponse,GZB-S-TA-GF-501-GFC-RW.dwg,2025-05-22 12:42:19,FM42EJFZPNC5F3HF,,
1aa1cd01-b48f-48fa-ae4d-e1ea3bd52aa7,346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,b05ad9fb-90fb-44ce-8ce4-58f136c49143,rfiResponse,GZB-S-TA-GF-501-GFC-RW.pdf,2025-05-22 12:42:20,FM42EJFZPNC5F3HF,,
57a8fbc8-2a85-44a1-8033-cbdc3379ca3f,80ea0e55-fcfd-4c57-9188-712d6c8a9a08,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,6a3b8574-58b3-40b5-8bdb-ee47326c5b53,rfiResponse,1) VDN-S-TA-STP-101-GFC.dwg,2025-05-28 08:49:17,67E2T63RRMUGH3NG,,
ebf13166-9218-4e3b-9730-77aea3bd961a,80ea0e55-fcfd-4c57-9188-712d6c8a9a08,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,6a3b8574-58b3-40b5-8bdb-ee47326c5b53,rfiResponse,1) VDN-S-TA-STP-101-GFC.pdf,2025-05-28 08:49:17,67E2T63RRMUGH3NG,,
fca49021-7f41-4eb7-89f9-f82b5845283b,45153a66-5422-4e2f-9a8e-0e3713ff9d2f,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,0be78e6b-82fb-4872-86fc-046f5c5f5041,rfiResponse,GZB-S-TA-MISC-11.01-GFC.pdf,2025-06-10 14:55:50,FM42EJFZPNC5F3HF,,
1d90eb22-76ab-42d5-b2ea-840296b8e843,ebae4fd9-7df4-4399-b7d0-5c192d69587c,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,61055304-6c55-4b8e-b88d-e4e67ddec948,rfiResponse,VDN-A-TA-4F-107-GFC.dwg,2025-06-13 08:50:25,CMJ2N3U8MSMRM8ZA,,
