bim360_account_id,bim360_project_id,role_oxygen_id,name,status,role_id
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947446,Electrical Manager,active,fbf906b7-f262-434a-a628-31ab53aed6b9
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947447,Cluster Head,active,a792f5ce-8328-460a-ac59-03da7580d0dd
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947450,Project Head,active,5d5858d4-5725-4a2f-9da4-798b6f81d687
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947449,Planning Engineer,active,60871017-729f-4483-85d2-78de38377558
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947448,Lead PMO,active,d6701fe4-379a-416f-9a69-9ce924194406
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947451,Lead Architect Consultant,active,a6d8d3e9-e329-48e0-a2c8-5b0b0524366b
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947452,Assistant PMO,active,45a25e14-6914-4f85-bebb-518335e5ea19
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947453,"Lead ICT, Security, Audio Visual & Acoustics Consultant",active,0e3d6dc2-bb29-40b4-bcc9-534bd6f885a2
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947454,Safety Engineer,active,86e2ec1c-4435-4166-89af-198f15322b9f
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947455,Quality Lead,active,ecee1a09-f44f-4e2d-9c85-25475433ab63
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947456,HO Billing Manager,active,25829562-0354-41fb-bf03-c8f95578955b
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947458,Site Billing Manager,active,078180f2-6d68-4d90-aa92-a95337e905f3
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947457,Safety Lead,active,877f66ae-b082-442c-8b5d-4c9ced1ddd23
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947459,Area Audit Lead Manager,active,def5da78-1c2d-4506-8f20-e82e9dd0ecf4
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947460,Quality Engineer,active,f7fb2a16-3762-4122-ae36-cf02a3698f97
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947461,Purchase Manager,active,035637d8-478a-4eb7-8445-f86056599ec8
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947462,Quantity Survey Manager,active,4e94344b-cfdc-4008-8949-ed3abfa89d74
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947463,Area Audit Engineer,active,3640cc0a-ebe8-4b11-b0d7-ca4e01557918
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947464,Contracts Administration,active,0ec0f3b5-ce4e-48d0-9d6f-2d02f9ad0ae9
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947465,Contracts-PMC,active,e52d2c2c-2ac1-4970-9a10-806716fa2546
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947466,Site Billing Engineer,active,6894a7db-5a71-4061-a7e5-7be37a2fe8ea
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947469,Contracts Manager,active,125a3757-01dd-4b9d-9d5b-192548dd8f54
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947470,Store Head,active,619ab9aa-6273-480c-ac76-b98d343aae93
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947471,Account Head,active,f0f8c239-14b7-49ee-86d6-5de76ecd2f99
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947467,Store Incharge,active,6df23868-d4bf-4bd4-a43b-d87629430df8
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947468,Accounts,active,e6a18dff-e1cc-4888-9e0e-61deab4cfb97
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947472,Liaison Consultant,active,1f3c94f2-b2ac-4e05-8fce-64419d0c1895
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947474,Lead Green Building Consultant,active,04d62b81-7654-4e5c-bf1a-644ff03cec8d
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947476,Quantity Surveying Lead,active,df279dc8-819a-4d25-a15d-94aa6ad610c1
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947478,Billing Head,active,bbec5624-6ea3-4fa0-b625-3fa41962a10f
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947479,Contracts Administration Lead,inactive,584fb119-d5ac-4324-b467-a7ec57b7d375
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947477,Contracts Lead,inactive,7c832ea3-9ef5-4500-82b6-611b77964f8f
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947475,Purchase Lead,active,98870b44-9515-4621-898a-a7e1ba2d8bbf
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947480,Mechanical Consultant,active,c57091d7-9491-4b2f-95eb-0f37ede4fd9a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947483,Director Mechanical Consultant,active,72e88215-f8fc-45be-8eda-e1765c0ca05a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947485,Lead Plumbing Consultant,active,2d16aae8-09dd-4d19-a4e8-636920e64305
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947484,Electrical Consultant,active,ea02b41f-fe2f-413f-8bfc-c716311761c8
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947486,Lead Liaison Consultant,active,92038b2d-774e-49bd-882e-0d115901d914
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947487,Lead Facade consultant,active,0e106b70-6ad8-4f3a-82b2-a460619ef311
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947488,Lead Electrical Consultant,active,510520f5-7080-47ee-bd42-b5e659e83f39
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947490,Plumbing Consultant,active,910dbfe8-e626-457d-b469-ec656269ade6
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947489,Lead Mechanical Consultant,active,2621c564-41e5-4d11-865d-80dc09401f52
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947491,Director Electrical Consultant,active,d76da4c2-07b9-4eed-b70b-e9e116aade63
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947492,Director Plumbing Consultant,active,d0b8b9bc-0133-4c52-868f-e4145ecf02ba
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947493,EC Consultant,active,5661081e-cce8-43ee-82fe-7cde852783e2
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947496,Lead Traffic Consultant,active,34be8beb-0316-4e0c-8c4e-a02a1360bb9a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947498,Lead EC Consultant,active,7d259f43-b0b2-48e6-8703-5de44ec69309
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947494,Green Building Consultant,active,9a15cea8-89ef-474a-8868-39784d16d571
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947499,Lead BOH & Kitchen Consultant,active,74b698c4-01f3-4895-b87b-36cc967441f7
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947501,Director EC Consultant,active,1bb7eb55-aae5-4a3f-8331-794750f3986c
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947497,Traffic Consultant,active,dd37f68b-8fe8-4b80-9707-7c6e662a9bb5
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947504,Facade consultant,active,3aa9a367-5e60-42d7-b7a6-92b8ac0cc552
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947500,BOH & Kitchen Consultant,active,0869ece3-195f-4d2b-9d21-3431246209de
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947507,Vertical Transport Consultant,active,326a474e-4bb8-4f1a-8c0f-b6695757a8a0
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947509,Light Consultant,active,4214bed5-25de-4239-b2fe-b14c7be14846
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947508,Roof Consultant,active,18ced67c-5f64-446a-bd02-6bfce44e2b51
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947512,"Director ICT, Security, Audio Visual & Acoustics Consultant",active,0c9c91ec-f063-41a6-a4fe-a3fe1bebe3e1
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947510,Lead Light Consultant,active,ac5a3609-7d36-47e8-a221-ee5c256c0d3b
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947511,Landscape Consultant,active,c8639e88-220f-4751-8a0c-8490119fb586
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947514,"ICT, Security, Audio Visual & Acoustics Consultant",active,231fad19-dd85-4a0f-9b88-ea12fec77bcc
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947513,Structure Peer Review Consultant,active,8758af36-d87a-4817-b694-807b763f9369
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947515,Lead Landscape Consultant,active,c4a02787-5293-4aaa-b709-2a6b3aec63eb
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947517,Lead Roof Consultant,active,94f272ad-411b-454a-8530-47b0f8f7ab45
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947516,MEP Peer Review Consultant,active,346ae69f-cf15-4c75-9f83-f743b5f9b954
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947519,Architect Consultant,active,43b8ae34-c672-4f44-86c9-448d92dd8a1b
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947518,Director Architect Consultant,active,41384b70-7759-42be-99d2-1ce97221265a
bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,501947520,Director Facade Consultant,active,3aa23619-4ea5-41ef-8b85-e8597ddbb834
