id,bim360_account_id,bim360_project_id,updated_by,updated_at,can_switch_type,sequence_type
fbdfce8d-35bf-4bcc-87c9-3e0d63e100ff,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,"",2025-02-01 04:02:07.319061,t,
0ce563d7-053c-4545-960a-8f1c9f79126b,bf996092-8d66-408a-8d8e-5065ca3330c2,85aceded-1588-4f99-bfba-6fe212b8cb9a,"",2025-02-18 04:42:16.955623,t,
889746fa-aee2-465a-80ef-599099d55af9,bf996092-8d66-408a-8d8e-5065ca3330c2,d3e63b56-0fd8-48c4-a595-b59dec992cd7,"",2025-02-21 13:16:52.286478,t,
1689d359-3861-4453-a96b-d63d0be73a88,bf996092-8d66-408a-8d8e-5065ca3330c2,94e46603-a987-42b3-b038-c708d5b5044f,"",2025-05-30 11:50:11.766804,t,
acf48d7f-557e-449e-84d7-aaba7306fe1b,bf996092-8d66-408a-8d8e-5065ca3330c2,e9b596f2-48ee-419b-a199-da304b38c398,"",2025-05-31 06:54:44.2069,t,
461c01ae-67df-4c6f-b112-41e85bc40143,bf996092-8d66-408a-8d8e-5065ca3330c2,cbee6c17-cdf8-4f2c-89c3-d6d9d738603e,"",2025-05-31 06:56:32.371194,t,
77169577-adb1-4e85-80f7-1e1ad52d1066,bf996092-8d66-408a-8d8e-5065ca3330c2,a53412bd-7461-4097-8404-e9dca9bf8ebe,"",2025-06-10 11:53:23.04199,t,
f37eaefe-fcdf-448e-b537-2a244a02b56d,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,"",2025-06-11 05:22:33.57151,t,1
ac517bee-5557-4708-8f41-5e6c70b76290,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,"",2025-06-10 10:46:43.098476,t,1
6fdbdde2-0cf3-44cd-b6c7-014198c65088,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"",2025-06-24 08:41:12.734556,t,1
37a86302-2a0f-41cd-b216-9cc77170e765,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,"",2025-07-18 10:55:15.603984,f,2
a345df0c-28a0-49ab-930f-a49138fe7e0d,bf996092-8d66-408a-8d8e-5065ca3330c2,5f478d4c-bbba-42cf-9532-4c830f687b31,"",2025-06-09 07:21:49.917429,t,
bf61478a-88c6-49a7-a5df-8b52637322fe,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,"",2025-03-21 06:33:04.917859,t,
3fb7bad6-acef-44b6-8649-a7a011a1ed70,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,"",2025-06-11 08:14:27.766783,t,1
10e88a66-3cbc-461b-a0ee-53b2a5ddca18,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,"",2025-02-10 11:53:25.43298,t,
1b02bb61-79ce-474f-90f4-0dbae77ea59b,bf996092-8d66-408a-8d8e-5065ca3330c2,b8edcd70-28bb-4319-af76-e8f8c0a1cd67,"",2025-05-21 10:38:32.082834,t,
7c8eb50a-62b4-4c5d-b81d-a612a09242d5,bf996092-8d66-408a-8d8e-5065ca3330c2,2407fb98-b0ae-4470-944d-73b14ccc6347,"",2025-05-21 11:29:32.004516,t,
a452ac8d-754f-4f26-a87a-6037595fc652,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"",2025-06-23 08:45:17.442912,t,1
7ee00a31-0473-4301-8aa4-71936e545c4e,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,"",2025-06-23 09:12:11.797953,t,1
e3e8cdd6-4486-4db1-ba94-067ab0c5c6c2,bf996092-8d66-408a-8d8e-5065ca3330c2,61c6206e-6e04-428a-836e-f68959d2a057,"",2025-07-16 11:22:46.898682,t,
